序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
587,接收,348.4560,00000101 H,标准帧,数据帧,8,04 CC CB 34 2C CF 73 49 ,
588,接收,348.4562,00000101 H,标准帧,数据帧,8,08 CC 83 34 8C D0 33 2E ,
589,接收,348.4564,00000101 H,标准帧,数据帧,8,0C CD 27 32 0C CC 33 3A ,
590,接收,348.4566,00000101 H,标准帧,数据帧,8,10 CA 67 25 8C A6 32 B8 ,
591,接收,348.4569,00000101 H,标准帧,数据帧,8,14 CA 8F 2A BC AD 32 A9 ,
592,接收,348.4571,00000101 H,标准帧,数据帧,8,18 CA B7 2B 1C AB 72 94 ,
593,接收,348.4573,00000101 H,标准帧,数据帧,8,1C CA 87 27 1C AC F2 91 ,
594,接收,348.4576,00000102 H,标准帧,数据帧,8,00 00 4C 01 20 05 00 13 ,
595,接收,348.4578,00000102 H,标准帧,数据帧,8,04 CC CB 32 6C CD B3 47 ,
596,接收,348.4580,00000102 H,标准帧,数据帧,8,08 CC 8B 33 4C CD B3 32 ,
597,接收,348.4583,00000102 H,标准帧,数据帧,8,0C CD 0B 33 5C CB 33 30 ,
598,接收,348.4585,00000102 H,标准帧,数据帧,8,10 CA 63 29 9C AB B2 92 ,
599,接收,348.4587,00000102 H,标准帧,数据帧,8,14 CA 2F 28 AC AB B2 91 ,
600,接收,348.4589,00000102 H,标准帧,数据帧,8,18 CA AF 2A 0C A7 F2 B2 ,
601,接收,348.4592,00000102 H,标准帧,数据帧,8,1C CA 8F 2B 1C A7 B2 8A ,
602,接收,348.5483,00000020 H,标准帧,数据帧,1,F8 ,
603,接收,348.5552,00000100 H,标准帧,数据帧,8,00 00 44 01 9C CF B3 37 ,
604,接收,348.5554,00000100 H,标准帧,数据帧,8,04 CD 2F 34 4C D0 73 2D ,
605,接收,348.5557,00000100 H,标准帧,数据帧,8,08 CD 37 32 DC CD B3 38 ,
606,接收,348.5559,00000100 H,标准帧,数据帧,8,0C CC BB 32 5C D2 F3 31 ,
607,接收,348.5561,00000100 H,标准帧,数据帧,8,10 C9 D7 2A 1C A7 B2 A7 ,
608,接收,348.5564,00000100 H,标准帧,数据帧,8,14 CA 8B 27 FC A9 F2 9E ,
609,接收,348.5566,00000100 H,标准帧,数据帧,8,18 CA C3 2A AC AC F2 64 ,
610,接收,348.5568,00000100 H,标准帧,数据帧,8,1C CA 93 28 DC AC 32 89 ,
611,接收,348.5571,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CC F3 3E ,
612,接收,348.5573,00000101 H,标准帧,数据帧,8,04 CC CB 34 1C CE F3 48 ,
613,接收,348.5575,00000101 H,标准帧,数据帧,8,08 CC 7F 34 AC D0 73 2F ,
614,接收,348.5578,00000101 H,标准帧,数据帧,8,0C CD 27 31 DC CD 33 3A ,
615,接收,348.5580,00000101 H,标准帧,数据帧,8,10 CA 5F 25 7C A7 32 BA ,
616,接收,348.5582,00000101 H,标准帧,数据帧,8,14 CA 9B 2A BC AC 72 A3 ,
617,接收,348.5584,00000101 H,标准帧,数据帧,8,18 CA AF 2B 0C AB 72 96 ,
618,接收,348.5587,00000101 H,标准帧,数据帧,8,1C CA 97 27 0C AC F2 93 ,
619,接收,348.5589,00000102 H,标准帧,数据帧,8,00 00 4C 01 30 05 00 13 ,
620,接收,348.5592,00000102 H,标准帧,数据帧,8,04 CC BF 32 5C CE 73 48 ,
621,接收,348.5594,00000102 H,标准帧,数据帧,8,08 CC 93 33 1C CD 33 35 ,
622,接收,348.5596,00000102 H,标准帧,数据帧,8,0C CD 13 33 6C CB 73 2F ,
623,接收,348.5598,00000102 H,标准帧,数据帧,8,10 CA 67 29 AC AB 72 92 ,
624,接收,348.5601,00000102 H,标准帧,数据帧,8,14 CA 2F 28 9C AC 72 92 ,
625,接收,348.5603,00000102 H,标准帧,数据帧,8,18 CA B3 29 EC A8 B2 B1 ,
626,接收,348.5605,00000102 H,标准帧,数据帧,8,1C CA 97 2A FC A7 72 8A ,
627,接收,348.6497,00000020 H,标准帧,数据帧,1,F8 ,
628,接收,348.6566,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF F3 36 ,
629,接收,348.6568,00000100 H,标准帧,数据帧,8,04 CD 3B 34 5C D0 73 2F ,
630,接收,348.6570,00000100 H,标准帧,数据帧,8,08 CD 33 32 CC CD 33 38 ,
631,接收,348.6572,00000100 H,标准帧,数据帧,8,0C CC BF 32 6C D2 B3 34 ,
632,接收,348.6575,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 3C A7 72 A8 ,
633,接收,348.6577,00000100 H,标准帧,数据帧,8,14 CA 8B 27 EC A9 32 A1 ,
634,接收,348.6579,00000100 H,标准帧,数据帧,8,18 CA C7 2A 8C AC 32 65 ,
635,接收,348.6582,00000100 H,标准帧,数据帧,8,1C CA 8B 28 BC AB F2 89 ,
636,接收,348.6584,00000101 H,标准帧,数据帧,8,00 00 54 01 6C CC F3 3E ,
637,接收,348.6586,00000101 H,标准帧,数据帧,8,04 CC C7 34 2C CE 73 47 ,
638,接收,348.6589,00000101 H,标准帧,数据帧,8,08 CC 83 34 7C CF 73 2B ,
639,接收,348.6591,00000101 H,标准帧,数据帧,8,0C CD 17 31 CC CD 33 39 ,
640,接收,348.6593,00000101 H,标准帧,数据帧,8,10 CA 57 25 9C A6 32 B9 ,
641,接收,348.6596,00000101 H,标准帧,数据帧,8,14 CA 8F 2A AC AC 32 A6 ,
642,接收,348.6598,00000101 H,标准帧,数据帧,8,18 CA B3 2B 2C AB 32 96 ,
643,接收,348.6600,00000101 H,标准帧,数据帧,8,1C CA 93 27 1C AC B2 91 ,
644,接收,348.6602,00000102 H,标准帧,数据帧,8,00 00 4C 01 20 05 00 13 ,
645,接收,348.6605,00000102 H,标准帧,数据帧,8,04 CC CF 32 5C CE 73 46 ,
646,接收,348.6607,00000102 H,标准帧,数据帧,8,08 CC 8B 33 3C CD F3 34 ,
647,接收,348.6609,00000102 H,标准帧,数据帧,8,0C CD 13 33 3C CA F3 2E ,
648,接收,348.6612,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AA 72 90 ,
649,接收,348.6614,00000102 H,标准帧,数据帧,8,14 CA 37 28 CC AC B2 93 ,
650,接收,348.6616,00000102 H,标准帧,数据帧,8,18 CA BB 29 FC A7 72 B2 ,
651,接收,348.6618,00000102 H,标准帧,数据帧,8,1C CA 8F 2A BC A6 F2 88 ,
652,接收,348.7511,00000020 H,标准帧,数据帧,1,F8 ,
653,接收,348.7579,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF 33 39 ,
654,接收,348.7581,00000100 H,标准帧,数据帧,8,04 CD 2F 34 5C D0 73 2D ,
655,接收,348.7584,00000100 H,标准帧,数据帧,8,08 CD 33 32 EC CD B3 36 ,
656,接收,348.7586,00000100 H,标准帧,数据帧,8,0C CC B3 32 4C D1 F3 2F ,
657,接收,348.7588,00000100 H,标准帧,数据帧,8,10 C9 EB 2A 5C A8 72 AC ,
658,接收,348.7591,00000100 H,标准帧,数据帧,8,14 CA 93 28 0C AA 32 A0 ,
659,接收,348.7593,00000100 H,标准帧,数据帧,8,18 CA B7 2A AC AC B2 63 ,
660,接收,348.7595,00000100 H,标准帧,数据帧,8,1C CA 97 28 DC AB F2 8B ,
661,接收,348.7598,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 33 41 ,
662,接收,348.7600,00000101 H,标准帧,数据帧,8,04 CC CB 34 0C CE B3 47 ,
663,接收,348.7602,00000101 H,标准帧,数据帧,8,08 CC 83 34 8C D0 73 2B ,
664,接收,348.7605,00000101 H,标准帧,数据帧,8,0C CD 27 31 EC CD 33 3A ,
665,接收,348.7607,00000101 H,标准帧,数据帧,8,10 CA 67 25 5C A5 F2 B9 ,
666,接收,348.7609,00000101 H,标准帧,数据帧,8,14 CA 8B 2A EC AD 32 A7 ,
667,接收,348.7612,00000101 H,标准帧,数据帧,8,18 CA B3 2B 1C AA F2 94 ,
668,接收,348.7614,00000101 H,标准帧,数据帧,8,1C CA 97 27 0C AC B2 91 ,
669,接收,348.7616,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 80 14 ,
670,接收,348.7619,00000102 H,标准帧,数据帧,8,04 CC D3 32 6C CE 33 46 ,
671,接收,348.7621,00000102 H,标准帧,数据帧,8,08 CC 8B 33 1C CD 73 34 ,
672,接收,348.7623,00000102 H,标准帧,数据帧,8,0C CD 0B 33 4C CB 33 2E ,
673,接收,348.7625,00000102 H,标准帧,数据帧,8,10 CA 5B 29 7C AA F2 8E ,
674,接收,348.7628,00000102 H,标准帧,数据帧,8,14 CA 2F 28 DC AC 72 92 ,
675,接收,348.7630,00000102 H,标准帧,数据帧,8,18 CA C3 2A 1C A8 32 B0 ,
676,接收,348.7632,00000102 H,标准帧,数据帧,8,1C CA 97 2A FC A6 B2 88 ,
677,接收,348.8524,00000020 H,标准帧,数据帧,1,F8 ,
678,接收,348.8593,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF 73 39 ,
679,接收,348.8595,00000100 H,标准帧,数据帧,8,04 CD 33 34 4C D0 73 2F ,
680,接收,348.8597,00000100 H,标准帧,数据帧,8,08 CD 2F 32 FC CD B3 38 ,
681,接收,348.8599,00000100 H,标准帧,数据帧,8,0C CC B3 32 4C D2 73 33 ,
682,接收,348.8602,00000100 H,标准帧,数据帧,8,10 C9 DF 2A 1C A7 72 A9 ,
683,接收,348.8604,00000100 H,标准帧,数据帧,8,14 CA 8B 28 0C A9 B2 9F ,
684,接收,348.8606,00000100 H,标准帧,数据帧,8,18 CA C7 2A AC AC B2 63 ,
685,接收,348.8609,00000100 H,标准帧,数据帧,8,1C CA 93 28 CC AC 32 89 ,
686,接收,348.8611,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CC F3 40 ,
687,接收,348.8613,00000101 H,标准帧,数据帧,8,04 CC C7 34 3C CE F3 47 ,
688,接收,348.8616,00000101 H,标准帧,数据帧,8,08 CC 83 34 8C CF F3 2D ,
689,接收,348.8618,00000101 H,标准帧,数据帧,8,0C CD 27 31 DC CC 73 39 ,
690,接收,348.8620,00000101 H,标准帧,数据帧,8,10 CA 57 25 7C A6 F2 B9 ,
691,接收,348.8623,00000101 H,标准帧,数据帧,8,14 CA 8F 2A DC AC F2 A8 ,
692,接收,348.8625,00000101 H,标准帧,数据帧,8,18 CA B3 2B 0C AB 72 99 ,
693,接收,348.8627,00000101 H,标准帧,数据帧,8,1C CA 93 27 0C AC B2 91 ,
694,接收,348.8630,00000102 H,标准帧,数据帧,8,00 00 4C 01 20 05 40 13 ,
695,接收,348.8632,00000102 H,标准帧,数据帧,8,04 CC CF 32 6C CE 33 45 ,
696,接收,348.8634,00000102 H,标准帧,数据帧,8,08 CC 83 33 3C CD 73 37 ,
697,接收,348.8636,00000102 H,标准帧,数据帧,8,0C CD 13 33 6C CA F3 2E ,
698,接收,348.8639,00000102 H,标准帧,数据帧,8,10 CA 67 29 AC AC 32 92 ,
699,接收,348.8641,00000102 H,标准帧,数据帧,8,14 CA 2B 28 BC AB F2 8F ,
700,接收,348.8643,00000102 H,标准帧,数据帧,8,18 CA B3 2A 1C A7 B2 B0 ,
701,接收,348.8646,00000102 H,标准帧,数据帧,8,1C CA 97 2A FC A7 32 8A ,
702,接收,348.9537,00000020 H,标准帧,数据帧,1,F8 ,
703,接收,348.9606,00000100 H,标准帧,数据帧,8,00 00 48 01 8C D0 B3 39 ,
704,接收,348.9608,00000100 H,标准帧,数据帧,8,04 CD 3F 34 5C D0 F3 2F ,
705,接收,348.9611,00000100 H,标准帧,数据帧,8,08 CD 37 33 0C CD B3 38 ,
706,接收,348.9613,00000100 H,标准帧,数据帧,8,0C CC B7 32 5C D2 B3 33 ,
707,接收,348.9615,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 3C A7 72 A8 ,
708,接收,348.9618,00000100 H,标准帧,数据帧,8,14 CA 8F 27 EC A9 B2 A0 ,
709,接收,348.9620,00000100 H,标准帧,数据帧,8,18 CA C3 2A 8C AC 72 64 ,
710,接收,348.9622,00000100 H,标准帧,数据帧,8,1C CA 97 28 BC AB F2 89 ,
711,接收,348.9625,00000101 H,标准帧,数据帧,8,00 00 54 01 6C CD B3 40 ,
712,接收,348.9627,00000101 H,标准帧,数据帧,8,04 CC C7 34 0C CE F3 4A ,
713,接收,348.9629,00000101 H,标准帧,数据帧,8,08 CC 8F 34 7C CF 73 2A ,
714,接收,348.9631,00000101 H,标准帧,数据帧,8,0C CD 27 32 0C CD 33 38 ,
715,接收,348.9634,00000101 H,标准帧,数据帧,8,10 CA 67 25 7C A5 B2 B8 ,
716,接收,348.9636,00000101 H,标准帧,数据帧,8,14 CA 87 2A BC AD 32 A9 ,
717,接收,348.9638,00000101 H,标准帧,数据帧,8,18 CA B7 2B 2C AB 72 96 ,
718,接收,348.9641,00000101 H,标准帧,数据帧,8,1C CA 8F 26 FC AC B2 94 ,
719,接收,348.9643,00000102 H,标准帧,数据帧,8,00 00 44 01 20 05 00 14 ,
720,接收,348.9645,00000102 H,标准帧,数据帧,8,04 CC C7 32 3C CD F3 48 ,
721,接收,348.9648,00000102 H,标准帧,数据帧,8,08 CC 8F 33 3C CD 73 35 ,
722,接收,348.9650,00000102 H,标准帧,数据帧,8,0C CD 17 33 4C CA F3 30 ,
723,接收,348.9652,00000102 H,标准帧,数据帧,8,10 CA 67 29 9C AA F2 92 ,
724,接收,348.9654,00000102 H,标准帧,数据帧,8,14 CA 33 28 9C AB F2 90 ,
725,接收,348.9657,00000102 H,标准帧,数据帧,8,18 CA AF 2A 0C A8 72 B3 ,
726,接收,348.9659,00000102 H,标准帧,数据帧,8,1C CA 8F 2B 0C A6 72 89 ,
727,接收,349.0551,00000020 H,标准帧,数据帧,1,F8 ,
728,接收,349.0620,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF F3 37 ,
729,接收,349.0622,00000100 H,标准帧,数据帧,8,04 CD 3B 34 5C D0 73 2F ,
730,接收,349.0624,00000100 H,标准帧,数据帧,8,08 CD 33 33 0C CD 33 38 ,
731,接收,349.0626,00000100 H,标准帧,数据帧,8,0C CC AF 32 4C D2 33 34 ,
732,接收,349.0629,00000100 H,标准帧,数据帧,8,10 C9 EB 2A 5C A8 72 A7 ,
733,接收,349.0631,00000100 H,标准帧,数据帧,8,14 CA 8F 27 FC A9 B2 9F ,
734,接收,349.0633,00000100 H,标准帧,数据帧,8,18 CA CB 2A 8C AC 32 65 ,
735,接收,349.0636,00000100 H,标准帧,数据帧,8,1C CA 97 28 AC AC 72 8A ,
736,接收,349.0638,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CC B3 3E ,
737,接收,349.0640,00000101 H,标准帧,数据帧,8,04 CC C7 34 0C CE F3 46 ,
738,接收,349.0643,00000101 H,标准帧,数据帧,8,08 CC 83 34 9C D0 33 2B ,
739,接收,349.0645,00000101 H,标准帧,数据帧,8,0C CD 1B 31 FC CD 33 3A ,
740,接收,349.0647,00000101 H,标准帧,数据帧,8,10 CA 5B 25 7C A7 32 BB ,
741,接收,349.0650,00000101 H,标准帧,数据帧,8,14 CA 8B 2A BC AC B2 A5 ,
742,接收,349.0652,00000101 H,标准帧,数据帧,8,18 CA B3 2B 0C AB 72 96 ,
743,接收,349.0654,00000101 H,标准帧,数据帧,8,1C CA 87 27 2C AC B2 91 ,
744,接收,349.0657,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 13 ,
745,接收,349.0659,00000102 H,标准帧,数据帧,8,04 CC BF 32 5C CE 73 49 ,
746,接收,349.0661,00000102 H,标准帧,数据帧,8,08 CC 93 33 1C CD 33 32 ,
747,接收,349.0663,00000102 H,标准帧,数据帧,8,0C CD 17 33 5C CA F3 2D ,
748,接收,349.0666,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AB 32 92 ,
749,接收,349.0668,00000102 H,标准帧,数据帧,8,14 CA 3F 28 BC AC B2 92 ,
750,接收,349.0670,00000102 H,标准帧,数据帧,8,18 CA B3 2A 1C A8 32 B0 ,
751,接收,349.0673,00000102 H,标准帧,数据帧,8,1C CA 97 2A DC A6 B2 8A ,
752,接收,349.1564,00000020 H,标准帧,数据帧,1,F8 ,
753,接收,349.1633,00000100 H,标准帧,数据帧,8,00 00 4C 01 8C D0 73 39 ,
754,接收,349.1635,00000100 H,标准帧,数据帧,8,04 CD 3B 34 4C D0 B3 2D ,
755,接收,349.1638,00000100 H,标准帧,数据帧,8,08 CD 2F 32 FC CD B3 37 ,
756,接收,349.1640,00000100 H,标准帧,数据帧,8,0C CC B7 32 5C D2 F3 32 ,
757,接收,349.1642,00000100 H,标准帧,数据帧,8,10 C9 DF 2A 1C A6 F2 A6 ,
758,接收,349.1645,00000100 H,标准帧,数据帧,8,14 CA 7F 27 FC A9 32 9D ,
759,接收,349.1647,00000100 H,标准帧,数据帧,8,18 CA BB 2A 8C AC 32 61 ,
760,接收,349.1649,00000100 H,标准帧,数据帧,8,1C CA 8F 28 8C AB F2 8B ,
761,接收,349.1652,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 73 3F ,
762,接收,349.1654,00000101 H,标准帧,数据帧,8,04 CC CB 34 1C CE B3 46 ,
763,接收,349.1656,00000101 H,标准帧,数据帧,8,08 CC 8B 34 AC CF F3 2C ,
764,接收,349.1658,00000101 H,标准帧,数据帧,8,0C CD 1B 31 DC CC B3 3A ,
765,接收,349.1661,00000101 H,标准帧,数据帧,8,10 CA 53 25 2C A5 B2 BB ,
766,接收,349.1663,00000101 H,标准帧,数据帧,8,14 CA 9B 2A CC AD 32 A8 ,
767,接收,349.1665,00000101 H,标准帧,数据帧,8,18 CA A7 2B 0C AA F2 94 ,
768,接收,349.1668,00000101 H,标准帧,数据帧,8,1C CA 97 27 0C AC F2 8F ,
769,接收,349.1670,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 14 ,
770,接收,349.1672,00000102 H,标准帧,数据帧,8,04 CC CF 32 5C CE 73 47 ,
771,接收,349.1675,00000102 H,标准帧,数据帧,8,08 CC 97 33 4C CD B3 36 ,
772,接收,349.1677,00000102 H,标准帧,数据帧,8,0C CD 07 33 4C CA F3 2F ,
773,接收,349.1679,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AB 32 90 ,
774,接收,349.1682,00000102 H,标准帧,数据帧,8,14 CA 2F 28 BC AB F2 90 ,
775,接收,349.1684,00000102 H,标准帧,数据帧,8,18 CA B3 2A 2C A7 F2 B2 ,
776,接收,349.1686,00000102 H,标准帧,数据帧,8,1C CA 97 2A FC A6 B2 89 ,
777,接收,349.2578,00000020 H,标准帧,数据帧,1,F8 ,
778,接收,349.2646,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 73 38 ,
779,接收,349.2649,00000100 H,标准帧,数据帧,8,04 CD 3B 34 4C D0 B3 2E ,
780,接收,349.2651,00000100 H,标准帧,数据帧,8,08 CD 2F 33 1C CD 73 38 ,
781,接收,349.2653,00000100 H,标准帧,数据帧,8,0C CC B7 32 4C D2 33 35 ,
782,接收,349.2656,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 2C A7 F2 A8 ,
783,接收,349.2658,00000100 H,标准帧,数据帧,8,14 CA 8B 27 CC A9 32 9F ,
784,接收,349.2660,00000100 H,标准帧,数据帧,8,18 CA C7 2A 8C AC 72 66 ,
785,接收,349.2663,00000100 H,标准帧,数据帧,8,1C CA 8F 28 CC AC 32 8A ,
786,接收,349.2665,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 33 43 ,
787,接收,349.2667,00000101 H,标准帧,数据帧,8,04 CC BF 34 0C CF 33 48 ,
788,接收,349.2670,00000101 H,标准帧,数据帧,8,08 CC 87 34 7C CF F3 2B ,
789,接收,349.2672,00000101 H,标准帧,数据帧,8,0C CD 23 31 CC CD 33 3A ,
790,接收,349.2674,00000101 H,标准帧,数据帧,8,10 CA 5B 25 4C A5 B2 B8 ,
791,接收,349.2676,00000101 H,标准帧,数据帧,8,14 CA 93 2A CC AD 32 A8 ,
792,接收,349.2679,00000101 H,标准帧,数据帧,8,18 CA B3 2B 1C AA F2 94 ,
793,接收,349.2681,00000101 H,标准帧,数据帧,8,1C CA 93 27 3C AC B2 94 ,
794,接收,349.2683,00000102 H,标准帧,数据帧,8,00 00 4C 01 30 05 00 14 ,
795,接收,349.2686,00000102 H,标准帧,数据帧,8,04 CC CB 32 5C CE 73 45 ,
796,接收,349.2688,00000102 H,标准帧,数据帧,8,08 CC 83 33 3C CD B3 34 ,
797,接收,349.2690,00000102 H,标准帧,数据帧,8,0C CD 13 33 6C CA F3 2E ,
798,接收,349.2693,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AB 32 8F ,
799,接收,349.2695,00000102 H,标准帧,数据帧,8,14 CA 27 28 9C AC 32 90 ,
800,接收,349.2697,00000102 H,标准帧,数据帧,8,18 CA BB 2A 3C A8 72 B0 ,
801,接收,349.2699,00000102 H,标准帧,数据帧,8,1C CA 93 2A FC A6 F2 8A ,
802,接收,349.2779,00000020 H,标准帧,数据帧,1,FA ,
803,接收,349.2825,00000200 H,标准帧,数据帧,8,00 73 75 CD 9F FE BF FA ,
804,接收,349.2827,00000200 H,标准帧,数据帧,8,04 FF EF FF BF FE DD 3C ,
805,接收,349.2830,00000201 H,标准帧,数据帧,8,00 75 09 D1 0F FF 7F FD ,
806,接收,349.2832,00000201 H,标准帧,数据帧,8,04 74 CD D3 7F FE DD 32 ,
807,接收,349.2834,00000202 H,标准帧,数据帧,8,00 73 FF FF DF FF 7F FD ,
808,接收,349.2837,00000202 H,标准帧,数据帧,8,04 74 11 CD 8F FF 1D 0A ,
809,接收,349.3181,00000040 H,标准帧,数据帧,5,00 00 00 00 00 ,
810,接收,349.3201,00000300 H,标准帧,数据帧,4,00 00 00 00 ,
811,接收,349.3792,00000020 H,标准帧,数据帧,1,F8 ,
812,接收,349.3861,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF F3 39 ,
813,接收,349.3863,00000100 H,标准帧,数据帧,8,04 CD 33 34 0C D0 B3 2E ,
814,接收,349.3865,00000100 H,标准帧,数据帧,8,08 CD 2B 32 EC CD B3 37 ,
815,接收,349.3868,00000100 H,标准帧,数据帧,8,0C CC B7 32 4C D2 B3 33 ,
816,接收,349.3870,00000100 H,标准帧,数据帧,8,10 C9 EF 2A 4C A8 72 A9 ,
817,接收,349.3872,00000100 H,标准帧,数据帧,8,14 CA 8B 27 EC A9 72 9E ,
818,接收,349.3875,00000100 H,标准帧,数据帧,8,18 CA C7 2A 9C AD 32 66 ,
819,接收,349.3877,00000100 H,标准帧,数据帧,8,1C CA 97 28 BC AC 32 8B ,
820,接收,349.3879,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CC F3 3F ,
821,接收,349.3882,00000101 H,标准帧,数据帧,8,04 CC C3 34 0C CF 73 49 ,
822,接收,349.3884,00000101 H,标准帧,数据帧,8,08 CC 83 34 9C CF 73 2A ,
823,接收,349.3886,00000101 H,标准帧,数据帧,8,0C CD 2F 31 EC CC 73 38 ,
824,接收,349.3888,00000101 H,标准帧,数据帧,8,10 CA 63 25 5C A5 F2 B8 ,
825,接收,349.3891,00000101 H,标准帧,数据帧,8,14 CA 93 2A DC AD 72 A8 ,
826,接收,349.3893,00000101 H,标准帧,数据帧,8,18 CA B3 2B 0C AB 72 96 ,
827,接收,349.3895,00000101 H,标准帧,数据帧,8,1C CA 97 27 1C AC F2 92 ,
828,接收,349.3898,00000102 H,标准帧,数据帧,8,00 00 44 01 20 05 00 13 ,
829,接收,349.3900,00000102 H,标准帧,数据帧,8,04 CC C7 32 4C CE 33 46 ,
830,接收,349.3902,00000102 H,标准帧,数据帧,8,08 CC 93 33 0C CC F3 31 ,
831,接收,349.3905,00000102 H,标准帧,数据帧,8,0C CD 07 33 5C CA B3 2F ,
832,接收,349.3907,00000102 H,标准帧,数据帧,8,10 CA 5F 29 7C AA F2 93 ,
833,接收,349.3909,00000102 H,标准帧,数据帧,8,14 CA 3B 28 BC AB F2 90 ,
834,接收,349.3912,00000102 H,标准帧,数据帧,8,18 CA AB 2A 1C A7 B2 AF ,
835,接收,349.3914,00000102 H,标准帧,数据帧,8,1C CA 8F 2A FC A6 B2 8A ,
836,接收,349.4805,00000020 H,标准帧,数据帧,1,F8 ,
837,接收,349.4874,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF F3 36 ,
838,接收,349.4876,00000100 H,标准帧,数据帧,8,04 CD 33 34 4C D0 B3 2C ,
839,接收,349.4879,00000100 H,标准帧,数据帧,8,08 CD 33 33 0C CD B3 38 ,
840,接收,349.4881,00000100 H,标准帧,数据帧,8,0C CC BB 32 5C D2 B3 33 ,
841,接收,349.4883,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 1C A7 B2 A8 ,
842,接收,349.4886,00000100 H,标准帧,数据帧,8,14 CA 8F 27 FC A9 B2 9F ,
843,接收,349.4888,00000100 H,标准帧,数据帧,8,18 CA C3 2A 9C AC B2 66 ,
844,接收,349.4890,00000100 H,标准帧,数据帧,8,1C CA 93 28 CC AC 72 8B ,
845,接收,349.4893,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CD 73 41 ,
846,接收,349.4895,00000101 H,标准帧,数据帧,8,04 CC BF 34 0C CE B3 45 ,
847,接收,349.4897,00000101 H,标准帧,数据帧,8,08 CC 8B 34 AC CF F3 2B ,
848,接收,349.4900,00000101 H,标准帧,数据帧,8,0C CD 1B 31 FC CC F3 3A ,
849,接收,349.4902,00000101 H,标准帧,数据帧,8,10 CA 5F 25 6C A5 F2 B9 ,
850,接收,349.4904,00000101 H,标准帧,数据帧,8,14 CA 93 2A EC AC F2 A7 ,
851,接收,349.4907,00000101 H,标准帧,数据帧,8,18 CA AF 2A EC AB B2 95 ,
852,接收,349.4909,00000101 H,标准帧,数据帧,8,1C CA 8F 27 2C AC F2 92 ,
853,接收,349.4911,00000102 H,标准帧,数据帧,8,00 00 48 01 30 05 40 13 ,
854,接收,349.4913,00000102 H,标准帧,数据帧,8,04 CC D3 32 4C CE 73 44 ,
855,接收,349.4916,00000102 H,标准帧,数据帧,8,08 CC 87 33 3C CD B3 36 ,
856,接收,349.4918,00000102 H,标准帧,数据帧,8,0C CD 0F 33 5C CA F3 2E ,
857,接收,349.4920,00000102 H,标准帧,数据帧,8,10 CA 5B 29 AC AB 32 91 ,
858,接收,349.4923,00000102 H,标准帧,数据帧,8,14 CA 3B 28 BC AC 32 93 ,
859,接收,349.4925,00000102 H,标准帧,数据帧,8,18 CA B7 2A 2C A7 72 AF ,
860,接收,349.4927,00000102 H,标准帧,数据帧,8,1C CA 93 2A EC A6 F2 8A ,
861,接收,349.5819,00000020 H,标准帧,数据帧,1,F8 ,
862,接收,349.5888,00000100 H,标准帧,数据帧,8,00 00 48 01 8C D0 73 37 ,
863,接收,349.5890,00000100 H,标准帧,数据帧,8,04 CD 37 34 4C D0 73 2E ,
864,接收,349.5892,00000100 H,标准帧,数据帧,8,08 CD 37 32 FC CD B3 39 ,
865,接收,349.5895,00000100 H,标准帧,数据帧,8,0C CC BB 32 6C D2 B3 34 ,
866,接收,349.5897,00000100 H,标准帧,数据帧,8,10 C9 EF 2A 4C A7 F2 AA ,
867,接收,349.5899,00000100 H,标准帧,数据帧,8,14 CA 93 27 FC AA 32 A1 ,
868,接收,349.5902,00000100 H,标准帧,数据帧,8,18 CA C7 2A AC AD 32 63 ,
869,接收,349.5904,00000100 H,标准帧,数据帧,8,1C CA 8F 28 CC AC 32 8A ,
870,接收,349.5906,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 33 3E ,
871,接收,349.5908,00000101 H,标准帧,数据帧,8,04 CC CB 34 2C CF 73 47 ,
