序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
1634,接收,352.5927,00000102 H,标准帧,数据帧,8,10 CA 63 29 8C AB 72 93 ,
1635,接收,352.5929,00000102 H,标准帧,数据帧,8,14 CA 33 28 BC AB 72 91 ,
1636,接收,352.5932,00000102 H,标准帧,数据帧,8,18 CA B3 29 FC A7 F2 AE ,
1637,接收,352.5934,00000102 H,标准帧,数据帧,8,1C CA 93 2A FC A7 72 8A ,
1638,接收,352.6826,00000020 H,标准帧,数据帧,1,F8 ,
1639,接收,352.6895,00000100 H,标准帧,数据帧,8,00 00 44 01 8C D0 73 36 ,
1640,接收,352.6897,00000100 H,标准帧,数据帧,8,04 CD 37 34 2C D0 73 30 ,
1641,接收,352.6899,00000100 H,标准帧,数据帧,8,08 CD 33 32 FC CD 73 37 ,
1642,接收,352.6902,00000100 H,标准帧,数据帧,8,0C CC C3 32 3C D2 F3 33 ,
1643,接收,352.6904,00000100 H,标准帧,数据帧,8,10 C9 E7 2A 2C A7 B2 A7 ,
1644,接收,352.6906,00000100 H,标准帧,数据帧,8,14 CA 8B 28 0C A9 B2 A0 ,
1645,接收,352.6909,00000100 H,标准帧,数据帧,8,18 CA BB 2A AC AC B2 64 ,
1646,接收,352.6911,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AB F2 8A ,
1647,接收,352.6913,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CD F3 41 ,
1648,接收,352.6916,00000101 H,标准帧,数据帧,8,04 CC BF 33 FC CE B3 48 ,
1649,接收,352.6918,00000101 H,标准帧,数据帧,8,08 CC 83 34 BC CF B3 2B ,
1650,接收,352.6920,00000101 H,标准帧,数据帧,8,0C CD 23 31 EC CC F3 3A ,
1651,接收,352.6923,00000101 H,标准帧,数据帧,8,10 CA 57 25 5C A6 B2 B8 ,
1652,接收,352.6925,00000101 H,标准帧,数据帧,8,14 CA 8B 2A DC AC F2 A6 ,
1653,接收,352.6927,00000101 H,标准帧,数据帧,8,18 CA AF 2B 0C AA B2 93 ,
1654,接收,352.6929,00000101 H,标准帧,数据帧,8,1C CA 8B 27 0C AC F2 92 ,
1655,接收,352.6932,00000102 H,标准帧,数据帧,8,00 00 48 01 30 05 40 13 ,
1656,接收,352.6934,00000102 H,标准帧,数据帧,8,04 CC CB 32 4C CE B3 48 ,
1657,接收,352.6936,00000102 H,标准帧,数据帧,8,08 CC 8B 33 1C CD 33 34 ,
1658,接收,352.6939,00000102 H,标准帧,数据帧,8,0C CD 0F 33 5C CB B3 32 ,
1659,接收,352.6941,00000102 H,标准帧,数据帧,8,10 CA 6F 29 AC AA F2 93 ,
1660,接收,352.6943,00000102 H,标准帧,数据帧,8,14 CA 2F 28 9C AB F2 8E ,
1661,接收,352.6946,00000102 H,标准帧,数据帧,8,18 CA B3 2A 1C A8 32 B3 ,
1662,接收,352.6948,00000102 H,标准帧,数据帧,8,1C CA 9F 2B 1C A7 72 8A ,
1663,接收,352.7839,00000020 H,标准帧,数据帧,1,F8 ,
1664,接收,352.7908,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 33 38 ,
1665,接收,352.7910,00000100 H,标准帧,数据帧,8,04 CD 33 34 4C D0 73 2F ,
1666,接收,352.7913,00000100 H,标准帧,数据帧,8,08 CD 2F 33 1C CD 73 38 ,
1667,接收,352.7915,00000100 H,标准帧,数据帧,8,0C CC B3 32 7C D2 73 33 ,
1668,接收,352.7917,00000100 H,标准帧,数据帧,8,10 C9 EF 2A 4C A7 F2 A9 ,
1669,接收,352.7920,00000100 H,标准帧,数据帧,8,14 CA 8F 28 0C A9 72 A1 ,
1670,接收,352.7922,00000100 H,标准帧,数据帧,8,18 CA C7 2A 9C AC 72 65 ,
1671,接收,352.7924,00000100 H,标准帧,数据帧,8,1C CA 93 28 CC AC 72 89 ,
1672,接收,352.7927,00000101 H,标准帧,数据帧,8,00 00 4C 01 6C CD 73 3F ,
1673,接收,352.7929,00000101 H,标准帧,数据帧,8,04 CC C3 33 FC CE B3 49 ,
1674,接收,352.7931,00000101 H,标准帧,数据帧,8,08 CC 87 34 7C CF 33 28 ,
1675,接收,352.7934,00000101 H,标准帧,数据帧,8,0C CD 23 32 0C CD 73 38 ,
1676,接收,352.7936,00000101 H,标准帧,数据帧,8,10 CA 5F 25 8C A6 72 B9 ,
1677,接收,352.7938,00000101 H,标准帧,数据帧,8,14 CA 8B 2A AC AC F2 A6 ,
1678,接收,352.7940,00000101 H,标准帧,数据帧,8,18 CA AF 2B 0C AB B2 96 ,
1679,接收,352.7943,00000101 H,标准帧,数据帧,8,1C CA 8B 26 FC AC 32 92 ,
1680,接收,352.7945,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 13 ,
1681,接收,352.7947,00000102 H,标准帧,数据帧,8,04 CC D3 32 6C CD F3 45 ,
1682,接收,352.7950,00000102 H,标准帧,数据帧,8,08 CC 83 33 2C CD B3 36 ,
1683,接收,352.7952,00000102 H,标准帧,数据帧,8,0C CD 17 33 5C CA F3 2E ,
1684,接收,352.7954,00000102 H,标准帧,数据帧,8,10 CA 5F 29 AC AB 32 92 ,
1685,接收,352.7957,00000102 H,标准帧,数据帧,8,14 CA 3B 28 AC AB F2 90 ,
1686,接收,352.7959,00000102 H,标准帧,数据帧,8,18 CA BB 29 EC A7 F2 AF ,
1687,接收,352.7961,00000102 H,标准帧,数据帧,8,1C CA 8B 2A FC A7 72 8B ,
1688,接收,352.8853,00000020 H,标准帧,数据帧,1,F8 ,
1689,接收,352.8922,00000100 H,标准帧,数据帧,8,00 00 48 01 9C CF B3 37 ,
1690,接收,352.8924,00000100 H,标准帧,数据帧,8,04 CD 33 34 4C D0 73 2B ,
1691,接收,352.8926,00000100 H,标准帧,数据帧,8,08 CD 33 33 0C CD 33 3A ,
